2024-12-24 15:36:46,828 [ERROR] dbgen failed at step 2: Query interrupted
2024-12-24 15:36:46,828 [INFO] === Step 3 ===
2024-12-24 15:36:46,828 [INFO] Generating data with dbgen (sf=3000, children=3000, step=3)...
2024-12-24 15:36:58,800 [ERROR] dbgen failed at step 3: Query interrupted
2024-12-24 15:36:58,800 [INFO] === Step 4 ===
2024-12-24 15:36:58,800 [INFO] Generating data with dbgen (sf=3000, children=3000, step=4)...
2024-12-24 15:37:11,055 [ERROR] dbgen failed at step 4: Query interrupted
2024-12-24 15:37:11,055 [INFO] === Step 5 ===
2024-12-24 15:37:11,055 [INFO] Generating data with dbgen (sf=3000, children=3000, step=5)...
2024-12-24 15:38:19,534 [INFO] Parquet files will be saved to '/home/jeroen/data/gen/sf3000' (in table dir).
2024-12-24 15:38:19,589 [INFO] Connected to DuckDB database ':memory:'.
2024-12-24 15:38:19,643 [INFO] Initial tables in the database: set()
2024-12-24 15:38:19,643 [INFO] === Step 0 ===
2024-12-24 15:38:19,644 [INFO] Generating data with dbgen (sf=3000, children=3000, step=0)...
2024-12-24 15:38:32,247 [INFO] Data generation completed.
2024-12-24 15:38:32,262 [INFO] New tables generated at step 0: {'nation', 'customer', 'partsupp', 'region', 'orders', 'part', 'supplier', 'lineitem'}
2024-12-24 15:38:32,262 [INFO] Exporting table 'nation' to '/home/jeroen/data/gen/sf3000/nation/nation_0000000.parquet'...
2024-12-24 15:38:32,263 [INFO] Successfully exported 'nation' to '/home/jeroen/data/gen/sf3000/nation/nation_0000000.parquet'.
2024-12-24 15:38:32,263 [INFO] Exporting table 'customer' to '/home/jeroen/data/gen/sf3000/customer/customer_0000000.parquet'...
2024-12-24 15:38:32,485 [INFO] Successfully exported 'customer' to '/home/jeroen/data/gen/sf3000/customer/customer_0000000.parquet'.
2024-12-24 15:38:32,485 [INFO] Exporting table 'partsupp' to '/home/jeroen/data/gen/sf3000/partsupp/partsupp_0000000.parquet'...
2024-12-24 15:38:32,735 [INFO] Successfully exported 'partsupp' to '/home/jeroen/data/gen/sf3000/partsupp/partsupp_0000000.parquet'.
2024-12-24 15:38:32,735 [INFO] Exporting table 'region' to '/home/jeroen/data/gen/sf3000/region/region_0000000.parquet'...
2024-12-24 15:38:32,737 [INFO] Successfully exported 'region' to '/home/jeroen/data/gen/sf3000/region/region_0000000.parquet'.
2024-12-24 15:38:32,737 [INFO] Exporting table 'orders' to '/home/jeroen/data/gen/sf3000/orders/orders_0000000.parquet'...
2024-12-24 15:38:33,104 [INFO] Successfully exported 'orders' to '/home/jeroen/data/gen/sf3000/orders/orders_0000000.parquet'.
2024-12-24 15:38:33,104 [INFO] Exporting table 'part' to '/home/jeroen/data/gen/sf3000/part/part_0000000.parquet'...
